"species","stock","survey","year","index"
"Skate","3LNO","Spring Yankee",1975,78.0980305240372
"Skate","3LNO","Spring Yankee",1976,159.892467333912
"Skate","3LNO","Spring Yankee",1977,127.325521187793
"Skate","3LNO","Spring Yankee",1978,73.7405872973185
"Skate","3LNO","Spring Yankee",1979,88.0737376422255
"Skate","3LNO","Spring Yankee",1980,88.8757524074288
"Skate","3LNO","Spring Yankee",1981,84.8783094745679
"Skate","3LNO","Spring Yankee",1982,90.79743019607
"Skate","3LNO","Spring Engel",1984,53.5491216022181
"Skate","3LNO","Spring Engel",1985,117.760484771919
"Skate","3LNO","Spring Engel",1986,89.3005065389971
"Skate","3LNO","Spring Engel",1987,76.2122605877521
"Skate","3LNO","Spring Engel",1988,81.5762697497247
"Skate","3LNO","Spring Engel",1989,64.0173579653541
"Skate","3LNO","Spring Engel",1990,60.9203342094089
"Skate","3LNO","Spring Engel",1991,59.1045948339389
"Skate","3LNO","Spring Engel",1992,36.5833848908531
"Skate","3LNO","Spring Engel",1993,24.4917196323102
"Skate","3LNO","Spring Engel",1994,16.924002404155
"Skate","3LNO","Spring Engel",1995,14.9391606342692
"Skate","3LNO","Spring Campelen",1996,51.5306912113756
"Skate","3LNO","Spring Campelen",1997,41.964158667683
"Skate","3LNO","Spring Campelen",1998,61.3436280797197
"Skate","3LNO","Spring Campelen",1999,87.5769989937511
"Skate","3LNO","Spring Campelen",2000,82.7890059429841
"Skate","3LNO","Spring Campelen",2001,98.6574963503215
"Skate","3LNO","Spring Campelen",2002,60.5908570189579
"Skate","3LNO","Spring Campelen",2003,76.3341962232343
"Skate","3LNO","Spring Campelen",2004,67.9714336937434
"Skate","3LNO","Spring Campelen",2005,99.5383176670077
"Skate","3LNO","Spring Campelen",2006,98.1434102126883
"Skate","3LNO","Spring Campelen",2007,127.601971119875
"Skate","3LNO","Spring Campelen",2008,97.7607096478836
"Skate","3LNO","Spring Campelen",2009,89.8628486413333
"Skate","3LNO","Spring Campelen",2010,117.682095145776
"Skate","3LNO","Spring Campelen",2011,88.3053771105384
"Skate","3LNO","Spring Campelen",2012,106.892826232145
"Skate","3LNO","Spring Campelen",2013,131.617452329864
"Skate","3LNO","Spring Campelen",2014,124.011469324947
"Skate","3LNO","Spring Campelen",2015,99.9127946212039
"Skate","3LNO","Spring Campelen",2016,113.07494382666
"Skate","3LNO","Fall Engel",1990,102.574848633221
"Skate","3LNO","Fall Engel",1991,91.394030970942
"Skate","3LNO","Fall Engel",1992,53.4064497666921
"Skate","3LNO","Fall Engel",1993,48.786660802421
"Skate","3LNO","Fall Engel",1994,39.007995035136
"Skate","3LNO","Fall Campelen",1995,96.7338407292003
"Skate","3LNO","Fall Campelen",1996,74.0416961822047
"Skate","3LNO","Fall Campelen",1997,118.009131277086
"Skate","3LNO","Fall Campelen",1998,81.7844271776032
"Skate","3LNO","Fall Campelen",1999,88.8310047015461
"Skate","3LNO","Fall Campelen",2000,119.785673997322
"Skate","3LNO","Fall Campelen",2001,112.88632154589
"Skate","3LNO","Fall Campelen",2002,104.516950648525
"Skate","3LNO","Fall Campelen",2003,97.4158160188431
"Skate","3LNO","Fall Campelen",2004,83.3659396566741
"Skate","3LNO","Fall Campelen",2005,119.14348070042
"Skate","3LNO","Fall Campelen",2006,123.586559560921
"Skate","3LNO","Fall Campelen",2007,157.263167987086
"Skate","3LNO","Fall Campelen",2008,186.934735108596
"Skate","3LNO","Fall Campelen",2009,126.848952333135
"Skate","3LNO","Fall Campelen",2010,103.177905304399
"Skate","3LNO","Fall Campelen",2011,137.157860133484
"Skate","3LNO","Fall Campelen",2012,170.639653732178
"Skate","3LNO","Fall Campelen",2013,156.953946093352
"Skate","3LNO","Fall Campelen",2015,134.898475213869
"Skate","3LNO","Fall Campelen",2016,139.41510982571
"Skate","3LNO","Fall Campelen",2017,154.000676114809
