"year","capelin"
1975,1744.59780301601
1976,1307.63812921276
1977,1047.41561546837
1978,696.44531695141
1979,626.718778435669
1980,538.09494970591
1981,519.030382865168
1982,842.39574800203
1983,1220.47224269573
1984,2622.27957392586
1985,3531.70150788826
1986,2997.07469440953
1987,3146.1609121576
1988,4695.46940259786
1989,3990.77294075272
1990,7005.84578224647
1991,168.148056376508
1992,176.632353447017
1993,227.924461551156
1994,153.992358782508
1995,115.903535204449
1996,99.8399021810163
1997,114.796868926215
1998,165.736363783093
1999,205.297991632114
2000,183.010337678634
2001,160.730391857992
2002,135.400604890348
2003,144.911292001697
2004,158.43164264428
2005,170.369184101567
2006,234.874801997266
2007,316.895023427635
2008,303.365830390837
2009,209.585543855039
2010,111.745451044423
2011,199.319213643717
2012,361.736871458493
2013,760.309330657246
2014,989.393700278516
2015,673.951797844204
2016,414.608327714798
2017,289.320027173046
2018,338.476364588803
2019,394.945361695691
2020,476.311866524585
